District,LBCode,LBName,WardCode,WardName,Party,Candidate,Gender,Age,Address,Votes,Type,Rank,Lead,Front,LBType,Tier,WardTotalVotes,VotePercentage,Assembly,VoteBin,VoteStrength,Strength
IDUKKI,G06027,Karimannoor,G06027005,KOTTAKKAVALA,KC,മാത്യു തോമസ്,,,,274,G,1,65,UDF,Grama,Ward,703,38.98,Thodupuzha,30-40%,,50-99
IDUKKI,G06027,Karimannoor,G06027005,KOTTAKKAVALA,KC(M),ജെഫിന്‍ കെ അഗസ്റ്റ്യന്‍ (ജെഫിന്‍ കൊടുവേലി ),,,,209,G,2,-65,LDF,Grama,Ward,703,29.73,Thodupuzha,20-30%,,-50 to -99
IDUKKI,G06027,Karimannoor,G06027005,KOTTAKKAVALA,AAP,ജാസില്‍ കെ ഫിലിപ്പ്,,,,184,G,3,-90,OTH,Grama,Ward,703,26.17,Thodupuzha,20-30%,,-50 to -99
IDUKKI,G06027,Karimannoor,G06027005,KOTTAKKAVALA,BJP,തങ്കച്ചന്‍ കെ വി,,,,36,G,4,-238,NDA,Grama,Ward,703,5.12,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027007,PAZHOOKKARA,IND,മനുപ്രസാദ് എസ്,,,,498,G,1,62,OTH,Grama,Ward,934,53.32,Thodupuzha,50-60%,,50-99
IDUKKI,G06027,Karimannoor,G06027007,PAZHOOKKARA,IND,അനുമോള്‍ റ്റി ജെ,,,,436,G,2,-62,OTH,Grama,Ward,934,46.68,Thodupuzha,40-50%,,-50 to -99
IDUKKI,G06027,Karimannoor,G06027006,NELLIMALA,KC,ജോസ്മി സോജൻ,,,,453,G,1,224,UDF,Grama,Ward,682,66.42,Thodupuzha,60-70%,,200-499
IDUKKI,G06027,Karimannoor,G06027006,NELLIMALA,IND,ജയശ്രീ സുനിൽ,,,,229,G,2,-224,OTH,Grama,Ward,682,33.58,Thodupuzha,30-40%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027009,PANNOOR,INC,ജെസ്സി സണ്ണി,,,,370,G,1,84,UDF,Grama,Ward,656,56.4,Thodupuzha,50-60%,,50-99
IDUKKI,G06027,Karimannoor,G06027009,PANNOOR,KC(M),ബ്രിജിറ്റ് ടീച്ചർ,,,,286,G,2,-84,LDF,Grama,Ward,656,43.6,Thodupuzha,40-50%,,-50 to -99
IDUKKI,G06027,Karimannoor,G06027008,PALLICKAMURY,INC,റീന സോജൻ (റീന  ജോൺ ),,,,496,G,1,108,UDF,Grama,Ward,884,56.11,Thodupuzha,50-60%,,100-199
IDUKKI,G06027,Karimannoor,G06027008,PALLICKAMURY,IND,ലിസി മാത്യു പൂവത്തിങ്കൽ,,,,388,G,2,-108,OTH,Grama,Ward,884,43.89,Thodupuzha,40-50%,,-100 to -199
IDUKKI,G06027,Karimannoor,G06027010,CHERADY,KC,ഷീജാ ജെനീഷ്,,,,340,G,1,101,UDF,Grama,Ward,792,42.93,Thodupuzha,40-50%,,100-199
IDUKKI,G06027,Karimannoor,G06027010,CHERADY,IND,സാലി ജോമോൻ,,,,239,G,2,-101,OTH,Grama,Ward,792,30.18,Thodupuzha,30-40%,,-100 to -199
IDUKKI,G06027,Karimannoor,G06027010,CHERADY,KC(M),റോസിലി സാജു പുതുശ്ശേരിൽ,,,,213,G,3,-127,LDF,Grama,Ward,792,26.89,Thodupuzha,20-30%,,-100 to -199
IDUKKI,G06027,Karimannoor,G06027011,KARIMANNOOR TOWN,INC,ഷാജന്‍ കുഴിക്കാട്ടുമ്യാലിൽ,,,,449,G,1,311,UDF,Grama,Ward,696,64.51,Thodupuzha,60-70%,,200-499
IDUKKI,G06027,Karimannoor,G06027011,KARIMANNOOR TOWN,JKC,കെ എം മത്തച്ചൻ,,,,138,G,2,-311,LDF,Grama,Ward,696,19.83,Thodupuzha,10-20%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027011,KARIMANNOOR TOWN,IND,അരുണ്‍ ബാബു,,,,63,G,3,-386,OTH,Grama,Ward,696,9.05,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027011,KARIMANNOOR TOWN,AAP,എബി പാറത്താഴം,,,,38,G,4,-411,OTH,Grama,Ward,696,5.46,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027011,KARIMANNOOR TOWN,IND,എം ടി തോമസ്,,,,8,G,5,-441,OTH,Grama,Ward,696,1.15,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027012,KILIYARA,INC,ഷൈനി ബിനോയ്,,,,395,G,1,265,UDF,Grama,Ward,586,67.41,Thodupuzha,60-70%,,200-499
IDUKKI,G06027,Karimannoor,G06027012,KILIYARA,IND,ഷിജി ടോമി കുഴിപ്പിള്ളിൽ,,,,130,G,2,-265,OTH,Grama,Ward,586,22.18,Thodupuzha,20-30%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027012,KILIYARA,IND,ടിന്റു മോൾ പി ആർ,,,,43,G,3,-352,OTH,Grama,Ward,586,7.34,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027012,KILIYARA,IND,ഡിന്‍സി പോൾ,,,,18,G,4,-377,OTH,Grama,Ward,586,3.07,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027013,CHALASSERY,INC,ടി.യു .ഫ്രാന്‍സീസ് (ബേബി  തുറയ്ക്കൽ),,,,578,G,1,373,UDF,Grama,Ward,783,73.82,Thodupuzha,70-80%,,200-499
IDUKKI,G06027,Karimannoor,G06027013,CHALASSERY,IND,ജോബ് ഉലഹന്നാൻ (ജോവാച്ചൻ ),,,,205,G,2,-373,OTH,Grama,Ward,783,26.18,Thodupuzha,20-30%,,-200 to -499
IDUKKI,G06027,Karimannoor,G06027014,EZHUMUTTOM,KC,റ്റെസി വിൽ‌സൺ,,,,480,G,1,199,UDF,Grama,Ward,761,63.07,Thodupuzha,60-70%,,100-199
